# Islas Canarias Region Stations - Metro, Tranvía, Guaguas
# Format: station_code,station_name

# Estaciones reales más comunes encontradas en dumps (PRIORITARIAS)
0x0000,Unknown Station
0x034=Parque Marítimo
0x035=Rambla
0x036=Plaza Weyler
0x037=Hospital Universitario
0x038=Ofra
0x039=Añaza
0x03A=García Escámez
0x03B=Padre Anchieta
0x03C=Duggi

# Guaguas Las Palmas de Gran Canaria
0x040=Estación San Telmo
0x041=Teatro Pérez Galdós
0x042=Parque Santa Catalina
0x043=Muelle Santa Catalina
0x044=Las Canteras
0x045=Auditorio Alfredo Kraus
0x046=Playa de Las Alcaravaneras
0x047=Castillo de la Luz
0x048=Puerto de la Luz
0x049=Mesa y López
0x04A=Triana
0x04B=Vegueta
0x04C=Pueblo Canario
0x04D=Parque Doramas
0x04E=Ciudad Jardín
0x04F=Tafira

# Metro Ligero de Las Palmas (proyecto)
0x050=Estación San Telmo
0x051=Alameda
0x052=Bravo Murillo
0x053=Schamann
0x054=Pío XII
0x055=Juan XXIII
0x056=Granja
0x057=Escaleritas
0x058=Almatriche
0x059=El Sebadal
0x05A=Jinámar

# Líneas interurbanas Tenerife
0x060=Santa Cruz de Tenerife
0x061=La Laguna
0x062=Tacoronte
0x063=El Sauzal
0x064=Puerto de la Cruz
0x065=La Orotava
0x066=Los Realejos
0x067=Icod de los Vinos
0x068=Garachico
0x069=Buenavista del Norte
0x06A=Los Silos
0x06B=El Tanque
0x06C=Santiago del Teide
0x06D=Adeje
0x06E=Arona
0x06F=Granadilla

# Líneas interurbanas Gran Canaria
0x070=Las Palmas de Gran Canaria
0x071=Telde
0x072=Ingenio
0x073=Agüimes
0x074=Santa Lucía
0x075=Vecindario
0x076=Maspalomas
0x077=Playa del Inglés
0x078=San Bartolomé de Tirajana
0x079=Fataga
0x07A=Mogán
0x07B=Puerto Rico
0x07C=Arguineguín
0x07D=Gáldar
0x07E=Guía
0x07F=Agaete

# Aeropuertos
0x080=Aeropuerto Tenerife Norte
0x081=Aeropuerto Tenerife Sur
0x082=Aeropuerto Las Palmas
0x083=Aeropuerto La Palma
0x084=Aeropuerto Lanzarote
0x085=Aeropuerto Fuerteventura
0x086=Aeropuerto La Gomera
0x087=Aeropuerto El Hierro

# La Palma
0x090=Santa Cruz de La Palma
0x091=Breña Alta
0x092=Breña Baja
0x093=Villa de Mazo
0x094=Fuencaliente
0x095=Los Llanos de Aridane
0x096=El Paso
0x097=Puntagorda
0x098=Tijarafe
0x099=Garafía
0x09A=Barlovento
0x09B=San Andrés y Sauces
0x09C=Puntallana

# Lanzarote
0x0A0=Arrecife
0x0A1=Tinajo
0x0A2=Yaiza
0x0A3=Tías
0x0A4=San Bartolomé
0x0A5=Teguise
0x0A6=Haría
0x0A7=Puerto del Carmen
0x0A8=Playa Blanca
0x0A9=Costa Teguise
0x0AA=Jameos del Agua
0x0AB=Cueva de los Verdes

# Fuerteventura
0x0B0=Puerto del Rosario
0x0B1=Antigua
0x0B2=Tuineje
0x0B3=Pájara
0x0B4=Betancuria
0x0B5=La Oliva
0x0B6=Corralejo
0x0B7=Morro Jable
0x0B8=Costa Calma
0x0B9=Caleta de Fuste

# La Gomera
0x0C0=San Sebastián de La Gomera
0x0C1=Agulo
0x0C2=Hermigua
0x0C3=Vallehermoso
0x0C4=Valle Gran Rey
0x0C5=Alajeró

# El Hierro
0x0D0=Valverde
0x0D1=La Frontera
0x0D2=El Pinar
